ball_prob,non_ball_prob,file
5.3741447e-36,1.0,c-150.jpg
0.00011174681,0.9998882,c-1500.jpg
1.0,3.3374816e-28,c-1501.jpg
1.0,0.0,c-1502.jpg
1.0,0.0,c-1503.jpg
1.0,1.4815786e-38,c-1504.jpg
0.0,1.0,c-1505.jpg
0.0,1.0,c-1506.jpg
0.0,1.0,c-1507.jpg
0.0,1.0,c-1508.jpg
0.0,1.0,c-1509.jpg
1.0,1.2075353e-19,c-151.jpg
0.0,1.0,c-1510.jpg
7.963465e-05,0.99992037,c-152.jpg
0.15306899,0.84693104,c-153.jpg
0.0,1.0,c-1532.jpg
0.0,1.0,c-1533.jpg
1.0,3.3088362e-18,c-1534.jpg
1.0,0.0,c-1535.jpg
1.0,0.0,c-1536.jpg
1.0,0.0,c-1537.jpg
1.0,0.0,c-1538.jpg
1.0,0.0,c-1539.jpg
1.0,0.0,c-154.jpg
1.0,2.9441696e-14,c-1540.jpg
1.6312118e-14,1.0,c-1541.jpg
6.9682103e-19,1.0,c-1542.jpg
0.0,1.0,c-1543.jpg
0.0,1.0,c-1544.jpg
0.0,1.0,c-1545.jpg
0.0,1.0,c-1546.jpg
0.0,1.0,c-1547.jpg
0.0,1.0,c-1548.jpg
0.0,1.0,c-1549.jpg
1.0,0.0,c-155.jpg
2.2209538e-35,1.0,c-1550.jpg
2.2209538e-35,1.0,c-1551.jpg
1.0,1.01364975e-30,c-1552.jpg
0.0,1.0,c-1553.jpg
0.0,1.0,c-1554.jpg
1.0,0.0,c-156.jpg
1.9911382e-28,1.0,c-1561.jpg
0.0,1.0,c-1562.jpg
0.0,1.0,c-1563.jpg
0.0,1.0,c-1564.jpg
3.923007e-32,1.0,c-1565.jpg
8.582066e-35,1.0,c-1566.jpg
0.0,1.0,c-1567.jpg
0.0,1.0,c-1568.jpg
0.0,1.0,c-1569.jpg
1.0,0.0,c-157.jpg
1.0,4.7467345e-15,c-1570.jpg
0.0,1.0,c-1572.jpg
0.0,1.0,c-1573.jpg
0.0,1.0,c-1574.jpg
0.0,1.0,c-1575.jpg
0.0,1.0,c-1576.jpg
0.0,1.0,c-1577.jpg
0.0,1.0,c-1578.jpg
0.0,1.0,c-1579.jpg
0.0,1.0,c-158.jpg
0.0,1.0,c-1583.jpg
0.0,1.0,c-1584.jpg
0.0,1.0,c-1585.jpg
0.0,1.0,c-159.jpg
1.0,0.0,c-160.jpg
0.0,1.0,c-162.jpg
0.0,1.0,c-163.jpg
0.0,1.0,c-164.jpg
0.0,1.0,c-165.jpg
0.0,1.0,c-166.jpg
0.0,1.0,c-186.jpg
0.0,1.0,c-188.jpg
0.0,1.0,c-189.jpg
0.0,1.0,c-190.jpg
0.0,1.0,c-191.jpg
0.0,1.0,c-199.jpg
0.0,1.0,c-200.jpg
0.0,1.0,c-201.jpg
0.0,1.0,c-202.jpg
1.0,0.0,c-226.jpg
1.0,0.0,c-227.jpg
1.0,0.0,c-230.jpg
1.0,0.0,c-231.jpg
1.0,0.0,c-232.jpg
5.165293e-08,1.0,c-236.jpg
2.5615654e-07,0.99999976,c-237.jpg
1.0,0.0,c-238.jpg
1.0,2.0025068e-17,c-239.jpg
1.0,0.0,c-240.jpg
0.0,1.0,c-241.jpg
1.0,2.388599e-33,c-242.jpg
1.0,2.2211115e-38,c-243.jpg
1.0,0.0,c-244.jpg
1.0,0.0,c-245.jpg
1.0,0.0,c-246.jpg
1.0,0.0,c-247.jpg
1.0,0.0,c-248.jpg
1.0,0.0,c-249.jpg
1.0,0.0,c-250.jpg
1.0,0.0,c-251.jpg
1.0,0.0,c-252.jpg
1.0,3.4449633e-12,c-253.jpg
1.0,0.0,c-254.jpg
1.0,0.0,c-255.jpg
0.0,1.0,c-257.jpg
1.0,3.6153749e-09,c-293.jpg
1.0,8.8438635e-26,c-294.jpg
0.9996557,0.0003442872,c-295.jpg
1.0,2.184413e-34,c-296.jpg
1.0,5.467482e-15,c-297.jpg
0.99999666,3.3046545e-06,c-298.jpg
0.0,1.0,c-299.jpg
0.0,1.0,c-301.jpg
0.0,1.0,c-313.jpg
0.0,1.0,c-314.jpg
0.0,1.0,c-315.jpg
0.0,1.0,c-316.jpg
0.0,1.0,c-317.jpg
0.0,1.0,c-318.jpg
0.0,1.0,c-319.jpg
0.0,1.0,c-320.jpg
0.0,1.0,c-321.jpg
0.0,1.0,c-322.jpg
